fingerprint,line_count,file,directory,start_line,end_line
d0ebbe468c958666f05a7fd0646e5b96,4,components/MergeUI/utils.js,components/MergeUI/,212,215
2b7d807e0d13d4b05f324610c6d8b41a,4,plugins/openlibrary/js/my-books/MyBooksDropper/ReadingLists.js,plugins/openlibrary/js/my-books/MyBooksDropper/,182,187
2b7d807e0d13d4b05f324610c6d8b41a,4,plugins/openlibrary/js/my-books/MyBooksDropper/ReadingLists.js,plugins/openlibrary/js/my-books/MyBooksDropper/,178,182
2b7d807e0d13d4b05f324610c6d8b41a,4,plugins/openlibrary/js/compact-title/index.js,plugins/openlibrary/js/compact-title/,75,80
cca9c59e5643bf99eb2b0ef46109eae4,4,plugins/openlibrary/js/my-books/CreateListForm.js,plugins/openlibrary/js/my-books/,30,50
cca9c59e5643bf99eb2b0ef46109eae4,4,plugins/openlibrary/js/merge-request-table/MergeRequestTable/TableHeader.js,plugins/openlibrary/js/merge-request-table/MergeRequestTable/,22,43
7f6f62c71da5befe3adefa81f1940c3b,4,plugins/openlibrary/js/team.js,plugins/openlibrary/js/,238,242
7f6f62c71da5befe3adefa81f1940c3b,4,plugins/openlibrary/js/team.js,plugins/openlibrary/js/,234,238
051abbb03a49e8cb6f165f70b5685cc3,4,plugins/openlibrary/js/team.js,plugins/openlibrary/js/,175,178
051abbb03a49e8cb6f165f70b5685cc3,4,plugins/openlibrary/js/team.js,plugins/openlibrary/js/,168,171
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,190,193
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,157,160
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,29,32
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/options.js,plugins/openlibrary/js/graphs/,42,45
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/options.js,plugins/openlibrary/js/graphs/,39,42
87bf7fd430677aac57171959599eb2d7,4,plugins/openlibrary/js/graphs/options.js,plugins/openlibrary/js/graphs/,15,18
5ee2c9a84e519144a66712b293f17aa4,4,plugins/openlibrary/js/add-book.js,plugins/openlibrary/js/,30,33
5ee2c9a84e519144a66712b293f17aa4,4,plugins/openlibrary/js/add-book.js,plugins/openlibrary/js/,29,32
b4b04567d381d1da621406f6d7477410,4,plugins/openlibrary/js/bulk-tagger/BulkTagger.js,plugins/openlibrary/js/bulk-tagger/,335,338
b4b04567d381d1da621406f6d7477410,4,plugins/openlibrary/js/bulk-tagger/BulkTagger.js,plugins/openlibrary/js/bulk-tagger/,331,334
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/validate.js,plugins/openlibrary/js/,37,40
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/merge-request-table/MergeRequestService.js,plugins/openlibrary/js/merge-request-table/,8,11
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/dialog.js,plugins/openlibrary/js/,11,14
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/bulk-tagger/models/Tag.js,plugins/openlibrary/js/bulk-tagger/models/,16,19
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/bulk-tagger/models/Tag.js,plugins/openlibrary/js/bulk-tagger/models/,5,8
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/bulk-tagger/BulkTagger/MenuOption.js,plugins/openlibrary/js/bulk-tagger/BulkTagger/,23,26
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/bulk-tagger/BulkTagger/MenuOption.js,plugins/openlibrary/js/bulk-tagger/BulkTagger/,4,7
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/autocomplete.js,plugins/openlibrary/js/,276,279
116558e96c75d93dbf6be180bf12b117,4,plugins/openlibrary/js/SearchBar.js,plugins/openlibrary/js/,8,11
116558e96c75d93dbf6be180bf12b117,4,components/MergeUI/utils.js,components/MergeUI/,213,216
6e20d16bad863fecff1f9643feb7fed6,4,plugins/openlibrary/js/search.js,plugins/openlibrary/js/,34,37
6e20d16bad863fecff1f9643feb7fed6,4,plugins/openlibrary/js/search.js,plugins/openlibrary/js/,12,15
